Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status
2008,82,Israel,0.0,0.0,1.0,1.0,,Participated
2008,82,Mauritius,0.0,0.0,1.0,1.0,,Participated
2008,82,Moldova,0.0,0.0,1.0,1.0,,Participated
2008,82,Togo,0.0,0.0,1.0,1.0,,Participated
2008,82,Venezuela,0.0,0.0,1.0,1.0,,Participated
2004,1,United States,36.0,39.0,26.0,101.0,,Participated
2004,2,China,32.0,17.0,14.0,63.0,,Participated
2004,3,Russia,28.0,26.0,36.0,90.0,,Participated
2004,4,Australia,17.0,16.0,17.0,50.0,,Participated
2004,5,Japan,16.0,9.0,12.0,37.0,,Participated
2004,6,Germany,13.0,16.0,20.0,49.0,,Participated
2004,7,France,11.0,9.0,13.0,33.0,,Participated
2004,8,Italy,10.0,11.0,11.0,32.0,,Participated
2004,9,South Korea,9.0,12.0,9.0,30.0,,Participated
2004,10,Great Britain,9.0,9.0,12.0,30.0,,Participated
2004,11,Cuba,9.0,7.0,11.0,27.0,,Participated
2004,12,Hungary,8.0,6.0,3.0,17.0,,Participated
2004,13,Ukraine,8.0,5.0,9.0,22.0,,Participated
2004,14,Romania,8.0,5.0,6.0,19.0,,Participated
2004,15,Greece,6.0,6.0,4.0,16.0,,Participated
2004,16,Brazil,5.0,2.0,3.0,10.0,,Participated
2004,17,Norway,5.0,0.0,1.0,6.0,,Participated
2004,18,Netherlands,4.0,9.0,9.0,22.0,,Participated
2004,19,Sweden,4.0,2.0,1.0,7.0,,Participated
2004,20,Spain,3.0,11.0,6.0,20.0,,Participated
2004,21,Canada,3.0,6.0,3.0,12.0,,Participated
2004,22,Turkey,3.0,3.0,4.0,10.0,,Participated
2004,23,Poland,3.0,2.0,5.0,10.0,,Participated
2004,24,New Zealand,3.0,2.0,0.0,5.0,,Participated
2004,25,Thailand,3.0,1.0,4.0,8.0,,Participated
2004,26,Belarus,2.0,5.0,6.0,13.0,,Participated
2004,27,Austria,2.0,4.0,1.0,7.0,,Participated
2004,28,Ethiopia,2.0,3.0,2.0,7.0,,Participated
2004,29,Iran,2.0,2.0,2.0,6.0,,Participated
2004,29,Slovakia,2.0,2.0,2.0,6.0,,Participated
2004,31,Chinese Taipei,2.0,2.0,1.0,5.0,,Participated
2004,32,Georgia,2.0,2.0,0.0,4.0,,Participated
2004,33,Bulgaria,2.0,1.0,9.0,12.0,,Participated
2004,34,Denmark,2.0,1.0,5.0,8.0,,Participated
2004,35,Jamaica,2.0,1.0,2.0,5.0,,Participated
2004,35,Uzbekistan,2.0,1.0,2.0,5.0,,Participated
2004,37,Morocco,2.0,1.0,0.0,3.0,,Participated
2004,38,Argentina,2.0,0.0,4.0,6.0,,Participated
2004,39,Chile,2.0,0.0,1.0,3.0,,Participated
2004,40,Kazakhstan,1.0,4.0,3.0,8.0,,Participated
2004,41,Kenya,1.0,4.0,2.0,7.0,,Participated
2004,42,Czech Republic,1.0,3.0,5.0,9.0,,Participated
2004,43,South Africa,1.0,3.0,2.0,6.0,,Participated
2004,44,Croatia,1.0,2.0,2.0,5.0,Croatia,Participated
2004,45,Lithuania,1.0,2.0,0.0,3.0,,Participated
2004,46,Egypt,1.0,1.0,3.0,5.0,,Participated
2004,46,Switzerland,1.0,1.0,3.0,5.0,,Participated
2004,48,Indonesia,1.0,1.0,2.0,4.0,,Participated
2004,49,Zimbabwe,1.0,1.0,1.0,3.0,,Participated
2004,50,Azerbaijan,1.0,0.0,4.0,5.0,,Participated
2004,51,Belgium,1.0,0.0,2.0,3.0,,Participated
2004,52,Bahamas,1.0,0.0,1.0,2.0,,Participated
2004,52,Israel,1.0,0.0,1.0,2.0,,Participated
2004,54,Cameroon,1.0,0.0,0.0,1.0,,Participated
2004,54,Dominican Republic,1.0,0.0,0.0,1.0,,Participated
2004,54,United Arab Emirates,1.0,0.0,0.0,1.0,,Participated
2004,57,North Korea,0.0,4.0,1.0,5.0,,Participated
2004,58,Latvia,0.0,4.0,0.0,4.0,,Participated
2004,59,Mexico,0.0,3.0,1.0,4.0,,Participated
2004,60,Portugal,0.0,2.0,1.0,3.0,,Participated
2004,61,Finland,0.0,2.0,0.0,2.0,,Participated
2004,61,Serbia and Montenegro,0.0,2.0,0.0,2.0,,Participated
2004,63,Slovenia,0.0,1.0,3.0,4.0,Slovenia,Participated
2004,64,Estonia,0.0,1.0,2.0,3.0,,Participated
2004,65,Hong Kong,0.0,1.0,0.0,1.0,,Participated
2004,65,India,0.0,1.0,0.0,1.0,,Participated
2004,65,Paraguay,0.0,1.0,0.0,1.0,,Participated
2004,68,Colombia,0.0,0.0,2.0,2.0,,Participated
2004,68,Nigeria,0.0,0.0,2.0,2.0,,Participated
2004,68,Venezuela,0.0,0.0,2.0,2.0,,Participated
2004,71,Eritrea,0.0,0.0,1.0,1.0,,Participated
2004,71,Mongolia,0.0,0.0,1.0,1.0,,Participated
2004,71,Syria,0.0,0.0,1.0,1.0,,Participated
2004,71,Trinidad and Tobago,0.0,0.0,1.0,1.0,,Participated
2000,1,United States,37.0,24.0,32.0,93.0,,Participated
2000,2,Russia,32.0,28.0,29.0,89.0,,Participated
2000,3,China,28.0,16.0,14.0,58.0,,Participated
2000,4,Australia,16.0,25.0,17.0,58.0,,Participated
2000,5,Germany,13.0,17.0,26.0,56.0,,Participated
2000,6,France,13.0,14.0,11.0,38.0,,Participated
2000,7,Italy,13.0,8.0,13.0,34.0,,Participated
2000,8,Netherlands,12.0,9.0,4.0,25.0,,Participated
2000,9,Cuba,11.0,11.0,7.0,29.0,,Participated
2000,10,Great Britain,11.0,10.0,7.0,28.0,,Participated
2000,11,Romania,11.0,6.0,9.0,26.0,,Participated
2000,12,South Korea,8.0,10.0,10.0,28.0,,Participated
2000,13,Hungary,8.0,6.0,3.0,17.0,,Participated
2000,14,Poland,6.0,5.0,3.0,14.0,,Participated
2000,15,Japan,5.0,8.0,5.0,18.0,,Participated
2000,16,Bulgaria,5.0,6.0,2.0,13.0,,Participated
2000,17,Greece,4.0,6.0,3.0,13.0,,Participated
2000,18,Sweden,4.0,5.0,3.0,12.0,,Participated
2000,19,Norway,4.0,3.0,3.0,10.0,,Participated
2000,20,Ethiopia,4.0,1.0,3.0,8.0,,Participated
2000,21,Ukraine,3.0,10.0,10.0,23.0,,Participated
2000,22,Kazakhstan,3.0,4.0,0.0,7.0,,Participated
2000,23,Belarus,3.0,3.0,11.0,17.0,,Participated
2000,24,Canada,3.0,3.0,8.0,14.0,,Participated
2000,25,Spain,3.0,3.0,5.0,11.0,,Participated
2000,26,Turkey,3.0,0.0,2.0,5.0,,Participated
2000,27,Iran,3.0,0.0,1.0,4.0,,Participated
2000,28,Czech Republic,2.0,3.0,3.0,8.0,,Participated
2000,29,Kenya,2.0,3.0,2.0,7.0,,Participated
2000,30,Denmark,2.0,3.0,1.0,6.0,,Participated
2000,31,Finland,2.0,1.0,1.0,4.0,,Participated
2000,32,Austria,2.0,1.0,0.0,3.0,,Participated
2000,33,Lithuania,2.0,0.0,3.0,5.0,,Participated
2000,34,Azerbaijan,2.0,0.0,1.0,3.0,,Participated
2000,34,Bahamas,2.0,0.0,1.0,3.0,,Participated
2000,36,Slovenia,2.0,0.0,0.0,2.0,Slovenia,Participated
2000,37,Switzerland,1.0,6.0,2.0,9.0,,Participated
2000,38,Indonesia,1.0,3.0,2.0,6.0,,Participated
2000,39,Slovakia,1.0,3.0,1.0,5.0,,Participated
2000,40,Mexico,1.0,2.0,3.0,6.0,,Participated
2000,41,Nigeria,1.0,2.0,0.0,3.0,,Participated
2000,42,Algeria,1.0,1.0,3.0,5.0,,Participated
2000,43,Uzbekistan,1.0,1.0,2.0,4.0,,Participated
2000,44,FR Yugoslavia,1.0,1.0,1.0,3.0,,Participated
2000,44,Latvia,1.0,1.0,1.0,3.0,,Participated
2000,46,New Zealand,1.0,0.0,3.0,4.0,,Participated
2000,47,Estonia,1.0,0.0,2.0,3.0,,Participated
2000,47,Thailand,1.0,0.0,2.0,3.0,,Participated
2000,49,Croatia,1.0,0.0,1.0,2.0,Croatia,Participated
2000,50,Cameroon,1.0,0.0,0.0,1.0,,Participated
2000,50,Colombia,1.0,0.0,0.0,1.0,,Participated
2000,50,Mozambique,1.0,0.0,0.0,1.0,,Participated
2000,53,Brazil,0.0,6.0,6.0,12.0,,Participated
2000,54,Jamaica,0.0,6.0,3.0,9.0,,Participated
2000,55,Belgium,0.0,2.0,3.0,5.0,,Participated
2000,55,South Africa,0.0,2.0,3.0,5.0,,Participated
2000,57,Argentina,0.0,2.0,2.0,4.0,,Participated
2000,58,Chinese Taipei,0.0,1.0,4.0,5.0,,Participated
2000,58,Morocco,0.0,1.0,4.0,5.0,,Participated
2000,60,North Korea,0.0,1.0,3.0,4.0,,Participated
2000,61,Moldova,0.0,1.0,1.0,2.0,,Participated
2000,61,Saudi Arabia,0.0,1.0,1.0,2.0,,Participated
2000,61,Trinidad and Tobago,0.0,1.0,1.0,2.0,,Participated
2000,64,Ireland,0.0,1.0,0.0,1.0,,Participated
2000,64,Sri Lanka,0.0,1.0,0.0,1.0,,Participated
2000,64,Uruguay,0.0,1.0,0.0,1.0,,Participated
2000,64,Vietnam,0.0,1.0,0.0,1.0,,Participated
2000,68,Georgia,0.0,0.0,6.0,6.0,,Participated
2000,69,Costa Rica,0.0,0.0,2.0,2.0,,Participated
2000,69,Portugal,0.0,0.0,2.0,2.0,,Participated
2000,71,Armenia,0.0,0.0,1.0,1.0,,Participated
2000,71,Barbados,0.0,0.0,1.0,1.0,,Participated
2000,71,Chile,0.0,0.0,1.0,1.0,,Participated
2000,71,Iceland,0.0,0.0,1.0,1.0,,Participated
2000,71,India,0.0,0.0,1.0,1.0,,Participated
2000,71,Israel,0.0,0.0,1.0,1.0,,Participated
2000,71,Kuwait,0.0,0.0,1.0,1.0,,Participated
2000,71,Kyrgyzstan,0.0,0.0,1.0,1.0,,Participated
2000,71,Macedonia,0.0,0.0,1.0,1.0,,Participated
2000,71,Qatar,0.0,0.0,1.0,1.0,,Participated
1996,1,United States,44.0,32.0,25.0,101.0,,Participated
1996,2,Russia,26.0,21.0,16.0,63.0,,Participated
1996,3,Germany,20.0,18.0,27.0,65.0,,Participated
1996,4,China,16.0,22.0,12.0,50.0,,Participated
1996,5,France,15.0,7.0,15.0,37.0,,Participated
1996,6,Italy,13.0,10.0,12.0,35.0,,Participated
1996,7,Australia,9.0,9.0,23.0,41.0,,Participated
1996,8,Cuba,9.0,8.0,8.0,25.0,,Participated
1996,9,Ukraine,9.0,2.0,12.0,23.0,,Participated
1996,10,South Korea,7.0,15.0,5.0,27.0,,Participated
1996,11,Poland,7.0,5.0,5.0,17.0,,Participated
1996,12,Hungary,7.0,4.0,10.0,21.0,,Participated
1996,13,Spain,5.0,6.0,6.0,17.0,,Participated
1996,14,Romania,4.0,7.0,9.0,20.0,,Participated
1996,15,Netherlands,4.0,5.0,10.0,19.0,,Participated
1996,16,Greece,4.0,4.0,0.0,8.0,,Participated
1996,17,Czech Republic,4.0,3.0,4.0,11.0,,Participated
1996,18,Switzerland,4.0,3.0,0.0,7.0,,Participated
1996,19,Denmark,4.0,1.0,1.0,6.0,,Participated
1996,19,Turkey,4.0,1.0,1.0,6.0,,Participated
1996,21,Canada,3.0,11.0,8.0,22.0,,Participated
1996,22,Bulgaria,3.0,7.0,5.0,15.0,,Participated
1996,23,Japan,3.0,6.0,5.0,14.0,,Participated
1996,24,Kazakhstan,3.0,4.0,4.0,11.0,,Participated
1996,25,Brazil,3.0,3.0,9.0,15.0,,Participated
1996,26,New Zealand,3.0,2.0,1.0,6.0,,Participated
1996,27,South Africa,3.0,1.0,1.0,5.0,,Participated
1996,28,Ireland,3.0,0.0,1.0,4.0,,Participated
1996,29,Sweden,2.0,4.0,2.0,8.0,,Participated
1996,30,Norway,2.0,2.0,3.0,7.0,,Participated
1996,31,Belgium,2.0,2.0,2.0,6.0,,Participated
1996,32,Nigeria,2.0,1.0,3.0,6.0,,Participated
1996,33,North Korea,2.0,1.0,2.0,5.0,,Participated
1996,34,Algeria,2.0,0.0,1.0,3.0,,Participated
1996,34,Ethiopia,2.0,0.0,1.0,3.0,,Participated
1996,36,Great Britain,1.0,8.0,6.0,15.0,,Participated
1996,37,Belarus,1.0,6.0,8.0,15.0,,Participated
1996,38,Kenya,1.0,4.0,3.0,8.0,,Participated
1996,39,Jamaica,1.0,3.0,2.0,6.0,,Participated
1996,40,Finland,1.0,2.0,1.0,4.0,,Participated
1996,41,FR Yugoslavia,1.0,1.0,2.0,4.0,,Participated
1996,41,Indonesia,1.0,1.0,2.0,4.0,,Participated
1996,43,Iran,1.0,1.0,1.0,3.0,,Participated
1996,43,Slovakia,1.0,1.0,1.0,3.0,,Participated
1996,45,Armenia,1.0,1.0,0.0,2.0,,Participated
1996,45,Croatia,1.0,1.0,0.0,2.0,Croatia,Participated
1996,47,Portugal,1.0,0.0,1.0,2.0,,Participated
1996,47,Thailand,1.0,0.0,1.0,2.0,,Participated
1996,49,Burundi,1.0,0.0,0.0,1.0,,Participated
1996,49,Costa Rica,1.0,0.0,0.0,1.0,,Participated
1996,49,Ecuador,1.0,0.0,0.0,1.0,,Participated
1996,49,Hong Kong,1.0,0.0,0.0,1.0,,Participated
1996,49,Syria,1.0,0.0,0.0,1.0,,Participated
1996,54,Argentina,0.0,2.0,1.0,3.0,,Participated
1996,55,Namibia,0.0,2.0,0.0,2.0,,Participated
1996,55,Slovenia,0.0,2.0,0.0,2.0,Slovenia,Participated
1996,57,Austria,0.0,1.0,2.0,3.0,,Participated
1996,58,Malaysia,0.0,1.0,1.0,2.0,,Participated
1996,58,Moldova,0.0,1.0,1.0,2.0,,Participated
1996,58,Uzbekistan,0.0,1.0,1.0,2.0,,Participated
1996,61,Azerbaijan,0.0,1.0,0.0,1.0,,Participated
1996,61,Bahamas,0.0,1.0,0.0,1.0,,Participated
1996,61,Chinese Taipei,0.0,1.0,0.0,1.0,,Participated
1996,61,Latvia,0.0,1.0,0.0,1.0,,Participated
1996,61,Philippines,0.0,1.0,0.0,1.0,,Participated
1996,61,Tonga,0.0,1.0,0.0,1.0,,Participated
1996,61,Zambia,0.0,1.0,0.0,1.0,,Participated
1996,68,Georgia,0.0,0.0,2.0,2.0,,Participated
1996,68,Morocco,0.0,0.0,2.0,2.0,,Participated
1996,68,Trinidad and Tobago,0.0,0.0,2.0,2.0,,Participated
1996,71,India,0.0,0.0,1.0,1.0,,Participated
1996,71,Israel,0.0,0.0,1.0,1.0,,Participated
1996,71,Lithuania,0.0,0.0,1.0,1.0,,Participated
1996,71,Mexico,0.0,0.0,1.0,1.0,,Participated
1996,71,Mongolia,0.0,0.0,1.0,1.0,,Participated
1996,71,Mozambique,0.0,0.0,1.0,1.0,,Participated
1996,71,Puerto Rico,0.0,0.0,1.0,1.0,,Participated
1996,71,Tunisia,0.0,0.0,1.0,1.0,,Participated
1996,71,Uganda,0.0,0.0,1.0,1.0,,Participated
1992,1,Unified Team,45.0,38.0,29.0,112.0,,Participated
1992,2,United States,37.0,34.0,37.0,108.0,,Participated
1992,3,Germany,33.0,21.0,28.0,82.0,,Participated
1992,4,China,16.0,22.0,16.0,54.0,,Participated
1992,5,Cuba,14.0,6.0,11.0,31.0,,Participated
1992,6,Spain,13.0,7.0,2.0,22.0,,Participated
1992,7,South Korea,12.0,5.0,12.0,29.0,,Participated
1992,8,Hungary,11.0,12.0,7.0,30.0,,Participated
1992,9,France,8.0,5.0,16.0,29.0,,Participated
1992,10,Australia,7.0,9.0,11.0,27.0,,Participated
1992,11,Canada,7.0,4.0,7.0,18.0,,Participated
1992,12,Italy,6.0,5.0,8.0,19.0,,Participated
1992,13,Great Britain,5.0,3.0,12.0,20.0,,Participated
1992,14,Romania,4.0,6.0,8.0,18.0,,Participated
1992,15,Czechoslovakia,4.0,2.0,1.0,7.0,,Participated
1992,16,North Korea,4.0,0.0,5.0,9.0,,Participated
1992,17,Japan,3.0,8.0,11.0,22.0,,Participated
1992,18,Bulgaria,3.0,7.0,6.0,16.0,,Participated
1992,19,Poland,3.0,6.0,10.0,19.0,,Participated
1992,20,Netherlands,2.0,6.0,7.0,15.0,,Participated
1992,21,Kenya,2.0,4.0,2.0,8.0,,Participated
1992,22,Norway,2.0,4.0,1.0,7.0,,Participated
1992,23,Turkey,2.0,2.0,2.0,6.0,,Participated
1992,24,Indonesia,2.0,2.0,1.0,5.0,,Participated
1992,25,Brazil,2.0,1.0,0.0,3.0,,Participated
1992,26,Greece,2.0,0.0,0.0,2.0,,Participated
1992,27,Sweden,1.0,7.0,4.0,12.0,,Participated
1992,28,New Zealand,1.0,4.0,5.0,10.0,,Participated
1992,29,Finland,1.0,2.0,2.0,5.0,,Participated
1992,30,Denmark,1.0,1.0,4.0,6.0,,Participated
1992,31,Morocco,1.0,1.0,1.0,3.0,,Participated
1992,32,Ireland,1.0,1.0,0.0,2.0,,Participated
1992,33,Ethiopia,1.0,0.0,2.0,3.0,,Participated
1992,34,Algeria,1.0,0.0,1.0,2.0,,Participated
1992,34,Estonia,1.0,0.0,1.0,2.0,,Participated
1992,34,Lithuania,1.0,0.0,1.0,2.0,,Participated
1992,37,Switzerland,1.0,0.0,0.0,1.0,,Participated
1992,38,Jamaica,0.0,3.0,1.0,4.0,,Participated
1992,38,Nigeria,0.0,3.0,1.0,4.0,,Participated
1992,40,Latvia,0.0,2.0,1.0,3.0,,Participated
1992,41,Austria,0.0,2.0,0.0,2.0,,Participated
1992,41,Namibia,0.0,2.0,0.0,2.0,,Participated
1992,41,South Africa,0.0,2.0,0.0,2.0,,Participated
1992,44,Belgium,0.0,1.0,2.0,3.0,,Participated
1992,44,Croatia,0.0,1.0,2.0,3.0,Croatia,Participated
1992,44,Independent Olympic Participants,0.0,1.0,2.0,3.0,,Participated
1992,44,Iran,0.0,1.0,2.0,3.0,,Participated
1992,48,Israel,0.0,1.0,1.0,2.0,,Participated
1992,49,Chinese Taipei,0.0,1.0,0.0,1.0,,Participated
1992,49,Mexico,0.0,1.0,0.0,1.0,,Participated
1992,49,Peru,0.0,1.0,0.0,1.0,,Participated
1992,52,Mongolia,0.0,0.0,2.0,2.0,,Participated
1992,52,Slovenia,0.0,0.0,2.0,2.0,Slovenia,Participated
1992,54,Argentina,0.0,0.0,1.0,1.0,,Participated
1992,54,Bahamas,0.0,0.0,1.0,1.0,,Participated
1992,54,Colombia,0.0,0.0,1.0,1.0,,Participated
1992,54,Ghana,0.0,0.0,1.0,1.0,,Participated
1992,54,Malaysia,0.0,0.0,1.0,1.0,,Participated
1992,54,Pakistan,0.0,0.0,1.0,1.0,,Participated
1992,54,Philippines,0.0,0.0,1.0,1.0,,Participated
1992,54,Puerto Rico,0.0,0.0,1.0,1.0,,Participated
1992,54,Qatar,0.0,0.0,1.0,1.0,,Participated
1992,54,Suriname,0.0,0.0,1.0,1.0,,Participated
1992,54,Thailand,0.0,0.0,1.0,1.0,,Participated
1988,1,Soviet Union,55.0,31.0,46.0,132.0,,Participated
1988,2,East Germany,37.0,35.0,30.0,102.0,,Participated
1988,3,United States,36.0,31.0,27.0,94.0,,Participated
1988,4,South Korea,12.0,10.0,11.0,33.0,,Participated
1988,5,West Germany,11.0,14.0,15.0,40.0,,Participated
1988,6,Hungary,11.0,6.0,6.0,23.0,,Participated
1988,7,Bulgaria,10.0,12.0,13.0,35.0,,Participated
1988,8,Romania,7.0,11.0,6.0,24.0,,Participated
1988,9,France,6.0,4.0,6.0,16.0,,Participated
1988,10,Italy,6.0,4.0,4.0,14.0,,Participated
1988,11,China,5.0,11.0,12.0,28.0,,Participated
1988,12,Great Britain,5.0,10.0,9.0,24.0,,Participated
1988,13,Kenya,5.0,2.0,2.0,9.0,,Participated
1988,14,Japan,4.0,3.0,7.0,14.0,,Participated
1988,15,Australia,3.0,6.0,5.0,14.0,,Participated
1988,16,Yugoslavia,3.0,4.0,5.0,12.0,,Participated
1988,17,Czechoslovakia,3.0,3.0,2.0,8.0,,Participated
1988,18,New Zealand,3.0,2.0,8.0,13.0,,Participated
1988,19,Canada,3.0,2.0,5.0,10.0,,Participated
1988,20,Poland,2.0,5.0,9.0,16.0,,Participated
1988,21,Norway,2.0,3.0,0.0,5.0,,Participated
1988,22,Netherlands,2.0,2.0,5.0,9.0,,Participated
1988,23,Denmark,2.0,1.0,1.0,4.0,,Participated
1988,24,Brazil,1.0,2.0,3.0,6.0,,Participated
1988,25,Finland,1.0,1.0,2.0,4.0,,Participated
1988,25,Spain,1.0,1.0,2.0,4.0,,Participated
1988,27,Turkey,1.0,1.0,0.0,2.0,,Participated
1988,28,Morocco,1.0,0.0,2.0,3.0,,Participated
1988,29,Austria,1.0,0.0,0.0,1.0,,Participated
1988,29,Portugal,1.0,0.0,0.0,1.0,,Participated
1988,29,Suriname,1.0,0.0,0.0,1.0,,Participated
1988,32,Sweden,0.0,4.0,7.0,11.0,,Participated
1988,33,Switzerland,0.0,2.0,2.0,4.0,,Participated
1988,34,Jamaica,0.0,2.0,0.0,2.0,,Participated
1988,35,Argentina,0.0,1.0,1.0,2.0,,Participated
1988,36,Chile,0.0,1.0,0.0,1.0,,Participated
1988,36,Costa Rica,0.0,1.0,0.0,1.0,,Participated
1988,36,Indonesia,0.0,1.0,0.0,1.0,,Participated
1988,36,Iran,0.0,1.0,0.0,1.0,,Participated
1988,36,Netherlands Antilles,0.0,1.0,0.0,1.0,,Participated
1988,36,Peru,0.0,1.0,0.0,1.0,,Participated
1988,36,Senegal,0.0,1.0,0.0,1.0,,Participated
1988,36,Virgin Islands,0.0,1.0,0.0,1.0,,Participated
1988,44,Belgium,0.0,0.0,2.0,2.0,,Participated
1988,44,Mexico,0.0,0.0,2.0,2.0,,Participated
1988,46,Colombia,0.0,0.0,1.0,1.0,,Participated
1988,46,Djibouti,0.0,0.0,1.0,1.0,,Participated
1988,46,Greece,0.0,0.0,1.0,1.0,,Participated
1988,46,Mongolia,0.0,0.0,1.0,1.0,,Participated
1988,46,Pakistan,0.0,0.0,1.0,1.0,,Participated
1988,46,Philippines,0.0,0.0,1.0,1.0,,Participated
1988,46,Thailand,0.0,0.0,1.0,1.0,,Participated
1984,1,United States,83.0,61.0,30.0,174.0,,Participated
1984,2,Romania,20.0,16.0,17.0,53.0,,Participated
1984,3,West Germany,17.0,19.0,23.0,59.0,,Participated
1984,4,China,15.0,8.0,9.0,32.0,,Participated
1984,5,Italy,14.0,6.0,12.0,32.0,,Participated
1984,6,Canada,10.0,18.0,16.0,44.0,,Participated
1984,7,Japan,10.0,8.0,14.0,32.0,,Participated
1984,8,New Zealand,8.0,1.0,2.0,11.0,,Participated
1984,9,Yugoslavia,7.0,4.0,7.0,18.0,,Participated
1984,10,South Korea,6.0,6.0,7.0,19.0,,Participated
1984,11,Great Britain,5.0,11.0,21.0,37.0,,Participated
1984,12,France,5.0,7.0,16.0,28.0,,Participated
1984,13,Netherlands,5.0,2.0,6.0,13.0,,Participated
1984,14,Australia,4.0,8.0,12.0,24.0,,Participated
1984,15,Finland,4.0,2.0,6.0,12.0,,Participated
1984,16,Sweden,2.0,11.0,6.0,19.0,,Participated
1984,17,Mexico,2.0,3.0,1.0,6.0,,Participated
1984,18,Morocco,2.0,0.0,0.0,2.0,,Participated
1984,19,Brazil,1.0,5.0,2.0,8.0,,Participated
1984,20,Spain,1.0,2.0,2.0,5.0,,Participated
1984,21,Belgium,1.0,1.0,2.0,4.0,,Participated
1984,22,Austria,1.0,1.0,1.0,3.0,,Participated
1984,23,Kenya,1.0,0.0,2.0,3.0,,Participated
1984,23,Portugal,1.0,0.0,2.0,3.0,,Participated
1984,25,Pakistan,1.0,0.0,0.0,1.0,,Participated
1984,26,Switzerland,0.0,4.0,4.0,8.0,,Participated
1984,27,Denmark,0.0,3.0,3.0,6.0,,Participated
1984,28,Jamaica,0.0,1.0,2.0,3.0,,Participated
1984,28,Norway,0.0,1.0,2.0,3.0,,Participated
1984,30,Greece,0.0,1.0,1.0,2.0,,Participated
1984,30,Nigeria,0.0,1.0,1.0,2.0,,Participated
1984,30,Puerto Rico,0.0,1.0,1.0,2.0,,Participated
1984,33,Colombia,0.0,1.0,0.0,1.0,,Participated
1984,33,Egypt,0.0,1.0,0.0,1.0,,Participated
1984,33,Ireland,0.0,1.0,0.0,1.0,,Participated
1984,33,Ivory Coast,0.0,1.0,0.0,1.0,,Participated
1984,33,Peru,0.0,1.0,0.0,1.0,,Participated
1984,33,Syria,0.0,1.0,0.0,1.0,,Participated
1984,33,Thailand,0.0,1.0,0.0,1.0,,Participated
1984,40,Turkey,0.0,0.0,3.0,3.0,,Participated
1984,40,Venezuela,0.0,0.0,3.0,3.0,,Participated
1984,42,Algeria,0.0,0.0,2.0,2.0,,Participated
1984,43,Cameroon,0.0,0.0,1.0,1.0,,Participated
1984,43,Chinese Taipei,0.0,0.0,1.0,1.0,,Participated
1984,43,Dominican Republic,0.0,0.0,1.0,1.0,,Participated
1984,43,Iceland,0.0,0.0,1.0,1.0,,Participated
1984,43,Zambia,0.0,0.0,1.0,1.0,,Participated
1980,1,Soviet Union,80.0,69.0,46.0,195.0,,Participated
1980,2,East Germany,47.0,37.0,42.0,126.0,,Participated
1980,3,Bulgaria,8.0,16.0,17.0,41.0,,Participated
1980,4,Cuba,8.0,7.0,5.0,20.0,,Participated
1980,5,Italy,8.0,3.0,4.0,15.0,,Participated
1980,6,Hungary,7.0,10.0,15.0,32.0,,Participated
1980,7,Romania,6.0,6.0,13.0,25.0,,Participated
1980,8,France,6.0,5.0,3.0,14.0,,Participated
1980,9,Great Britain,5.0,7.0,9.0,21.0,,Participated
1980,10,Poland,3.0,14.0,15.0,32.0,,Participated
1980,11,Sweden,3.0,3.0,6.0,12.0,,Participated
1980,12,Finland,3.0,1.0,4.0,8.0,,Participated
1980,13,Czechoslovakia,2.0,3.0,9.0,14.0,,Participated
1980,14,Yugoslavia,2.0,3.0,4.0,9.0,,Participated
1980,15,Australia,2.0,2.0,5.0,9.0,,Participated
1980,16,Denmark,2.0,1.0,2.0,5.0,,Participated
1980,17,Brazil,2.0,0.0,2.0,4.0,,Participated
1980,17,Ethiopia,2.0,0.0,2.0,4.0,,Participated
1980,19,Switzerland,2.0,0.0,0.0,2.0,,Participated
1980,20,Spain,1.0,3.0,2.0,6.0,,Participated
1980,21,Austria,1.0,2.0,1.0,4.0,,Participated
1980,22,Greece,1.0,0.0,2.0,3.0,,Participated
1980,23,Belgium,1.0,0.0,0.0,1.0,,Participated
1980,23,India,1.0,0.0,0.0,1.0,,Participated
1980,23,Zimbabwe,1.0,0.0,0.0,1.0,,Participated
1980,26,North Korea,0.0,3.0,2.0,5.0,,Participated
1980,27,Mongolia,0.0,2.0,2.0,4.0,,Participated
1980,28,Tanzania,0.0,2.0,0.0,2.0,,Participated
1980,29,Mexico,0.0,1.0,3.0,4.0,,Participated
1980,30,Netherlands,0.0,1.0,2.0,3.0,,Participated
1980,31,Ireland,0.0,1.0,1.0,2.0,,Participated
1980,32,Uganda,0.0,1.0,0.0,1.0,,Participated
1980,32,Venezuela,0.0,1.0,0.0,1.0,,Participated
1980,34,Jamaica,0.0,0.0,3.0,3.0,,Participated
1980,35,Guyana,0.0,0.0,1.0,1.0,,Participated
1980,35,Lebanon,0.0,0.0,1.0,1.0,,Participated
1976,1,Soviet Union,49.0,41.0,35.0,125.0,,Participated
1976,2,East Germany,40.0,25.0,25.0,90.0,,Participated
1976,3,United States,34.0,35.0,25.0,94.0,,Participated
1976,4,West Germany,10.0,12.0,17.0,39.0,,Participated
1976,5,Japan,9.0,6.0,10.0,25.0,,Participated
1976,6,Poland,7.0,6.0,13.0,26.0,,Participated
1976,7,Bulgaria,6.0,9.0,7.0,22.0,,Participated
